[find-bench] scenario region spec=/Users/josh/play/SikuliX1/packages/api/internal/grpcv1/testdata/find-bench-assets/regions.json mapped=40/40
goos: darwin
goarch: arm64
pkg: github.com/smysnk/sikuligo/internal/grpcv1
cpu: Apple M4 Pro
BenchmarkFindOnScreenE2E/engine=template/vector_ui_baseline_800x600_i01_scale_s57c08455-14         	       5	  45887992 ns/op	         0 error/op	         0 not_found/op	         0 overlap_miss/op	         0 query_error/op	         0 query_not_found/op	         3.000 query_ok/op	         0 query_overlap_miss/op	         3.000 query_total/op	         0 query_unsupported/op	         1.000 success/op	         0 unsupported/op	 1684088 B/op	     719 allocs/op
BenchmarkFindOnScreenE2E/engine=template/photo_clutter_800x600_i02_rotate_s89976fd6-14             	       5	  45318292 ns/op	         0 error/op	         0 not_found/op	         0 overlap_miss/op	         0 query_error/op	         0 query_not_found/op	         3.000 query_ok/op	         0 query_overlap_miss/op	         3.000 query_total/op	         0 query_unsupported/op	         1.000 success/op	         0 unsupported/op	 1627665 B/op	     708 allocs/op
BenchmarkFindOnScreenE2E/engine=template/repetitive_grid_camouflage_800x600_i03_rotate_sd949b0da-14         	       5	  48591317 ns/op	         0 error/op	         0 not_found/op	         0 overlap_miss/op	         0 query_error/op	         0 query_not_found/op	         3.000 query_ok/op	         0 query_overlap_miss/op	         3.000 query_total/op	         0 query_unsupported/op	         1.000 success/op	         0 unsupported/op	 1597900 B/op	     702 allocs/op
BenchmarkFindOnScreenE2E/engine=template/noise_stress_random_800x600_i04_rotate_s2892b109-14                	       3	  87716472 ns/op	         0 error/op	         1.000 not_found/op	         0 overlap_miss/op	         0 query_error/op	         3.000 query_not_found/op	         0 query_ok/op	         0 query_overlap_miss/op	         3.000 query_total/op	         0 query_unsupported/op	         0 success/op	         0 unsupported/op	 3325864 B/op	    1270 allocs/op
BenchmarkFindOnScreenE2E/engine=template/scale_rotate_sweep_800x600_i05_scale_sa6bdffc2-14                  	       2	 101482500 ns/op	         0 error/op	         1.000 not_found/op	         0 overlap_miss/op	         0 query_error/op	         3.000 query_not_found/op	         0 query_ok/op	         0 query_overlap_miss/op	         3.000 query_total/op	         0 query_unsupported/op	         0 success/op	         0 unsupported/op	 3212388 B/op	    1269 allocs/op
BenchmarkFindOnScreenE2E/engine=template/perspective_skew_sweep_800x600_i06_perspective_sad7d499c-14        	       3	  91603680 ns/op	         0 error/op	         1.000 not_found/op	         0 overlap_miss/op	         0 query_error/op	         3.000 query_not_found/op	         0 query_ok/op	         0 query_overlap_miss/op	         3.000 query_total/op	         0 query_unsupported/op	         0 success/op	         0 unsupported/op	 3217538 B/op	    1269 allocs/op
BenchmarkFindOnScreenE2E/engine=template/orb_feature_rich_800x600_i07_rotate_s1f72975c-14                   	       3	  77781958 ns/op	         0 error/op	         1.000 not_found/op	         0 overlap_miss/op	         0 query_error/op	         2.000 query_not_found/op	         1.000 query_ok/op	         0 query_overlap_miss/op	         3.000 query_total/op	         0 query_unsupported/op	         0 success/op	         0 unsupported/op	 2642098 B/op	    1089 allocs/op
BenchmarkFindOnScreenE2E/engine=template/template_control_exact_800x600_i08_sb012a65c-14                    	       5	  42962042 ns/op	         0 error/op	         0 not_found/op	         0 overlap_miss/op	         0 query_error/op	         0 query_not_found/op	         3.000 query_ok/op	         0 query_overlap_miss/op	         3.000 query_total/op	         0 query_unsupported/op	         1.000 success/op	         0 unsupported/op	 1649337 B/op	     703 allocs/op
BenchmarkFindOnScreenE2E/engine=template/hybrid_gate_conflicts_800x600_i09_perspective_sff95719b-14         	       5	  49356342 ns/op	         0 error/op	         0 not_found/op	         0 overlap_miss/op	         0 query_error/op	         0 query_not_found/op	         3.000 query_ok/op	         0 query_overlap_miss/op	         3.000 query_total/op	         0 query_unsupported/op	         1.000 success/op	         0 unsupported/op	 1588968 B/op	     700 allocs/op
BenchmarkFindOnScreenE2E/engine=template/multi_monitor_dpi_shift_800x600_i10_scale_s402af2c7-14             	       3	  78800986 ns/op	         0 error/op	         1.000 not_found/op	         0 overlap_miss/op	         0 query_error/op	         3.000 query_not_found/op	         0 query_ok/op	         0 query_overlap_miss/op	         3.000 query_total/op	         0 query_unsupported/op	         0 success/op	         0 unsupported/op	 3391245 B/op	    1286 allocs/op
BenchmarkFindOnScreenE2E/engine=template/vector_ui_baseline_1024x768_i01_scale_s95e0b3e9-14                 	       3	  76142639 ns/op	         0 error/op	         0 not_found/op	         0 overlap_miss/op	         0 query_error/op	         0 query_not_found/op	         3.000 query_ok/op	         0 query_overlap_miss/op	         3.000 query_total/op	         0 query_unsupported/op	         1.000 success/op	         0 unsupported/op	 3041437 B/op	     729 allocs/op
